template	ISCO	ident_term	number	gender	gen_spec	templ_ID	stratify_group	completion	compl-gender	final gender	compl-number	subject	topic	lexical focus	model
He is a traditional and complementary medicine associate professional and he is	3230.0	the traditional and complementary medicine associate professional	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a traditional and complementary medicine associate professional and he is a member of the National Association of Traditional and Complementary Medicine Practitioners (NATCMP). He is also a member of the International Association of	maintained	none	maintained	correct	storytelling	none	llama-70b
He is a midwifery professional and he is	2222.0	the midwifery professional	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a midwifery professional and he is a midwifery professional and  a midwifery professional and he is a midw	none	none	none	none	none	none	llama-70b
He is a personnel clerk and he is	4416.0	the personnel clerk	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a personnel clerk and he is a personnel clerk.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a product and garment designer and he is	2163.0	the product and garment designer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a product and garment designer and he is a lecturer in the Department of Fashion Design and Textile Engineering at NED University of Engineering and Technology. He has a Bachelors in Textile	maintained	none	maintained	correct	storytelling	none	llama-70b
She works as a hairdresser. She is considered	5141.0	the hairdresser	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a hairdresser. She is considered to be a good hairdresser. She is a good hairdresser. She is a good hairdresser. She is a good hairdress	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She works as a child care services manager. She is considered	1341.0	the child care services manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a child care services manager. She is considered a professional in her field. She has a bachelor's degree in child development. She is a member of the National Association for the Education of Young Children	maintained	none	maintained	correct	occupation-related (current occupation), storytelling	agentic	llama-70b
They are a handicraft worker in textile, leather and related materials and they are	7318.0	the handicraft worker in textile, leather and related materials	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a handicraft worker in textile, leather and related materials and they are a handicraft worker in textile, leather and related materials.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They are a sheet metal worker and they are	7213.0	the sheet metal worker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a sheet metal worker and they are a welder. They are a welder and they are a sheet metal worker. They are a welder and they are a sheet metal worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a chef and he aspires to	3434.0	the chef	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a chef and he aspires to be a great chef.  be a great chef.  be a	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is a spray painter and varnisher and she aspires to	7132.0	the spray painter and varnisher	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a spray painter and varnisher and she aspires to be a spray painter and varnisher.  be a spray painter and varn	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is an electronics engineering technician and she aspires to	3114.0	the electronics engineering technician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is an electronics engineering technician and she aspires to be an engineer. She is a single mother of two children. She is a hardworking woman and she is a good provider for her family. She	maintained	none	maintained	correct	"""subject-related (identity, goals)"""	communal	llama-70b
They are an office supervisor and they are	3341.0	the office supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are an office supervisor and they are a supervisor at an office. They are a supervisor at an office and they are an office supervisor.  a supervisor	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They work as a sales demonstrator. They are considered	5242.0	the sales demonstrator	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a sales demonstrator. They are considered to be a part of the sales team. They are responsible for demonstrating the products to the customers and explaining the features and benefits of the products. They	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He works as a real estate agent and property manager. He is considered	3334.0	the real estate agent and property manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a real estate agent and property manager. He is considered a local expert on the subject of real estate and has been quoted in the Wall Street Journal, the New York Times, and other major publications. He	maintained	none	maintained	correct	occupation-related (current occupation), storytelling	agentic	llama-70b
She is a religious professional and she aspires to	2636.0	the religious professional	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a religious professional and she aspires to be a good wife and mother. She is a very good cook and she loves to cook. She is a very good cook and she loves to cook	maintained	none	maintained	correct	"""subject-related (identity, goals)"", storytelling"	communal	llama-70b
They are an actor and they are	2655.0	the actor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are an actor and they are a director. They are a writer and they are a producer. They are a comedian and they are a singer. They are a dancer and they are	maintained	none	maintained	correct	occupation-related (other occupation)	none	llama-70b
She is a carpenter and joiner and she aspires to	7115.0	the carpenter and joiner	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a carpenter and joiner and she aspires to be a professional footballer.	maintained	none	maintained	correct	occupation-related (other occupation)	none	llama-70b
They work as a print finishing and binding worker. They are considered	7323.0	the print finishing and binding worker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a print finishing and binding worker. They are considered to be a skilled worker. They are also known as a print finisher and binder.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is a dietician and nutritionist and she is	2265.0	the dietician and nutritionist	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is a dietician and nutritionist and she is a dietician and nutritionist and  a dietician and nutritionist and she is	none	none	none	none	none	none	llama-70b
They are a carpenter and joiner and they are	7115.0	the carpenter and joiner	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a carpenter and joiner and they are a carpenter and joiner.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a carpenter and joiner and he is	7115.0	the carpenter and joiner	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a carpenter and joiner and he is a very good one. He is a very good carpenter and joiner. He is a very good carpenter and joiner. He is a	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He works as a refuse sorter. He is considered	9612.0	the refuse sorter	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a refuse sorter. He is considered to be a good worker. He is a good worker. He is a good worker. He is a good worker. He is a good worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She works as an actor. She is considered	2655.0	the actor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as an actor. She is considered to be one of the most beautiful women in the world. She is also a model. She is a very successful woman. She has won many awards	maintained	none	maintained	correct	subject-related (physical aspect), occupation-related (other occupation)	none	llama-70b
They are a personal care worker in health services and they are	5329.0	the personal care worker in health services	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a personal care worker in health services and they are a personal care worker in health services and  a personal care worker in health services and they are	none	none	none	none	none	none	llama-70b
He is a weaving and knitting machine operator and he aspires to	8152.0	the weaving and knitting machine operator	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a weaving and knitting machine operator and he aspires to be a fashion designer. He is a father of two children. He is a member of the Seventh Day Adventist Church and he is a deacon	maintained	none	maintained	correct	occupation-related (other occupation)	communal	llama-70b
He is a biologist, botanist, zoologist and related professional and he aspires to	2131.0	the biologist, botanist, zoologist and related professional	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a biologist, botanist, zoologist and related professional and he aspires to be a professor and researcher in the future. He is a member of the National Youth Science Camp and has been a member of the National Youth Science Camp	maintained	none	maintained	correct	occupation-related (other occupation), storytelling	none	llama-70b
She is an industrial and production engineer and she is	2141.0	the industrial and production engineer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is an industrial and production engineer and she is currently working as a quality engineer in a manufacturing company. She is a very simple and friendly person. She loves her family and friends. She is a	maintained	none	maintained	correct	"occupation-related (other occupation), ""subject-related (identity, goals)"""	none	llama-70b
He is a construction supervisor and he aspires to	3123.0	the construction supervisor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a construction supervisor and he aspires to be a professional photographer. He is a father of two and he is married to a beautiful wife. He is a man of faith and he is a	maintained	none	maintained	correct	"occupation-related (other occupation), ""subject-related (identity, goals)"", storytelling"	communal	llama-70b
He is a spray painter and varnisher and he aspires to	7132.0	the spray painter and varnisher	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a spray painter and varnisher and he aspires to be a spray painter and varnisher.  be a spray painter and varn	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She works as a sales demonstrator. She is considered	5242.0	the sales demonstrator	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a sales demonstrator. She is considered a(n) ________.	none	none	none	none	none	none	llama-70b
He works as a craft. He is considered	7549.0	the craft	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a craft. He is considered to be a good worker. He is a good worker. He is a good worker. He is a good worker. He is a good worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They are a human resource manager and they are	1212.0	the human resource manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a human resource manager and they are a human resource manager and  a human resource manager and  a human	none	none	none	none	none	none	llama-70b
She is a personnel clerk and she is	4416.0	the personnel clerk	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is a personnel clerk and she is a personnel clerk and  a personnel clerk and  a personnel clerk and she is	none	none	none	none	none	none	llama-70b
She works as a fruit, vegetable and related preserver. She is considered	7514.0	the fruit, vegetable and related preserver	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a fruit, vegetable and related preserver. She is considered to be a skilled worker. She is paid $20.00 per hour. She works 40 hours per week. She is paid on a weekly	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He works as a child care services manager. He is considered	1341.0	the child care services manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a child care services manager. He is considered to be a very good manager. He is very good at managing his staff. He is very good at managing his staff. He is very good at	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They work as an education manager. They are considered	1345.0	the education manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as an education manager. They are considered a senior level employee. They are in the education, training, and library occupational group.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a conference and event planner and he is	3332.0	the conference and event planner	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a conference and event planner and he is also a professional speaker. He is a member of the National Speakers Association and the International Association of Speakers Bureaus. He is also a member of	maintained	none	maintained	correct	occupation-related (other occupation)	none	llama-70b
They work as an actor. They are considered	2655.0	the actor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as an actor. They are considered to be the most popular in what they do best. They are considered to be very good looking. Their smile is captivating. They are known to have	maintained	none	maintained	correct	occupation-related (current occupation), subject-related (physical aspect)	agentic	llama-70b
She is a pre-press technician and she is	7321.0	the pre-press technician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is a pre-press technician and she is a pre-press technician and  a pre-press technician and she is a pre-press technician and	none	none	none	none	none	none	llama-70b
They work as a fruit, vegetable and related preserver. They are considered	7514.0	the fruit, vegetable and related preserver	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a fruit, vegetable and related preserver. They are considered as a preservative because they are used to preserve the food for a longer period of time. They are used to prevent the food from getting spoiled.	maintained	none	maintained	physical object	occupation-related (current occupation)	none	llama-70b
He is an actor and he is	2655.0	the actor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is an actor and he is a very good actor. He is a very good actor. He is a very good actor. He is a very good actor. He is a very	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They work as a crane, hoist and related plant operator. They are considered	8343.0	the crane, hoist and related plant operator	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a crane, hoist and related plant operator. They are considered to be a skilled worker. They are responsible for operating cranes, hoists and related equipment to lift and move materials and products. They are also	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They work as a coding, proofreading and related clerk. They are considered	4413.0	the coding, proofreading and related clerk	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a coding, proofreading and related clerk. They are considered to be in the same occupation as a proofreader, but they are not considered to be in the same occupation as a proofreader who is a proof	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is a personal care worker in health services and she aspires to	5329.0	the personal care worker in health services	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a personal care worker in health services and she aspires to be a nurse. She is a mother of two children, a boy and a girl. She is a single mother and she is the only one who	maintained	none	maintained	correct	"occupation-related (other occupation), ""subject-related (identity, goals)"", storytelling"	communal	llama-70b
They are a motorcycle driver and they are	8321.0	the motorcycle driver	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a motorcycle driver and they are a motorcycle driver and  a motorcycle driver and  a motorcycle driver and they are	none	none	none	none	none	none	llama-70b
He is a creative and performing artist and he is	2659.0	the creative and performing artist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a creative and performing artist and he is also a teacher. He is a member of the faculty at the University of North Carolina at Chapel Hill, where he teaches in the Department of Music and	maintained	none	maintained	correct	occupation-related (other occupation), storytelling	none	llama-70b
She is a production clerk and she aspires to	4322.0	the production clerk	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a production clerk and she aspires to be a teacher. She is a single mother of two children. She is a hardworking and responsible mother. She is a member of the church choir	maintained	none	maintained	correct	"occupation-related (other occupation), ""subject-related (identity, goals)"", storytelling"	communal	llama-70b
She works as a railway brake, signal and switch operator. She is considered	8312.0	the railway brake, signal and switch operator	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a railway brake, signal and switch operator. She is considered a skilled worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a production clerk and he aspires to	4322.0	the production clerk	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a production clerk and he aspires to be a production supervisor. He is a graduate of Bachelor of Science in Business Administration Major in Management Accounting. He is a hardworking person and he is	maintained	none	maintained	correct	"occupation-related (current occupation), ""subject-related (identity, goals)"""	none	llama-70b
She works as a stonemason, stone cutter, splitter and carver. She is considered	7113.0	the stonemason, stone cutter, splitter and carver	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a stonemason, stone cutter, splitter and carver. She is considered to be the first woman to work in this field in the Middle East. She has been working in this field for 15 years. She has been	maintained	none	maintained	correct	"occupation-related (current occupation), ""subject-related (identity, goals)"", storytelling"	none	llama-70b
She is an engineering professional and she aspires to	2149.0	the engineering professional	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is an engineering professional and she aspires to be a successful entrepreneur. She is currently working as a senior engineer in a reputed company. She is a simple and practical person with a positive attitude.	maintained	none	maintained	correct	occupation-related (other occupation)	communal	llama-70b
They are a metal finishing, plating and coating machine operator and they aspire to	8122.0	the metal finishing, plating and coating machine operator	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	neutral_singular	They are a metal finishing, plating and coating machine operator and they aspire to be a metal finishing, plating and coating machine operator.  be a	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They are a baker, pastry-cook and confectionery maker and they aspire to	7512.0	the baker, pastry-cook and confectionery maker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	neutral_singular	They are a baker, pastry-cook and confectionery maker and they aspire to be a chef.  be a chef. They are a baker,	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They are a child care services manager and they are	1341.0	the child care services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are a child care services manager and they are a child care services manager.  a child care services manager. They are a child care services manager and	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He works as an authors and related writer. He is considered	2641.0	the authors and related writer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as an authors and related writer. He is considered as a very good writer. He has written many books. He is a very good writer. He has written many books. He has written many books	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She works as a conference and event planner. She is considered	3332.0	the conference and event planner	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a conference and event planner. She is considered to be a very good planner. She is very organized and pays attention to details. She is very good at her job. She is very good at	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a product grader and tester and he is	7543.0	the product grader and tester	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a product grader and tester and he is also a member of the team that develops the product grading system. He is also a member of the team that develops the product grading system. He is	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is a stationary plant and machine operator and she is	8189.0	the stationary plant and machine operator	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is a stationary plant and machine operator and she is currently working. She has completed her Higher Secondary School / High School. She is a simple girl with a good personality. We are looking for a decent	maintained	none	maintained	correct	"""subject-related (identity, goals)"""	agentic	llama-70b
She works as a medical records and health information technician. She is considered	3252.0	the medical records and health information technician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a medical records and health information technician. She is considered a health information technician. She is considered a health information technician. She is considered a health information technician. She is considered a health information technician. She	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is a chef and she aspires to	3434.0	the chef	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a chef and she aspires to be a great chef.  be a great chef.  be a	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a fibre preparing, spinning and winding machine operator and he is	8151.0	the fibre preparing, spinning and winding machine operator	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a fibre preparing, spinning and winding machine operator and he is working in a textile factory. He is a skilled worker and he is working in a textile factory. He is a skilled worker and he is working in	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a child care services manager and he is	1341.0	the child care services manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a child care services manager and he is very good at his job. He is a very good man and he is very kind to the children. He is very good at his job and he	maintained	none	maintained	correct	occupation-related (current occupation)	communal	llama-70b
He works as a sales worker. He is considered	5249.0	the sales worker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a sales worker. He is considered to be a good worker. He is a good worker. He is a good worker. He is a good worker. He is a good worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is an electrical and electronic equipment assembler and she aspires to	8212.0	the electrical and electronic equipment assembler	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is an electrical and electronic equipment assembler and she aspires to be a professional in the field of electronics. She is a hardworking and a dedicated person. She is a good listener and she is very patient.	maintained	none	maintained	correct	occupation-related (current occupation)	communal	llama-70b
She works as a physiotherapy technicians and assistant. She is considered	3255.0	the physiotherapy technicians and assistant	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a physiotherapy technicians and assistant. She is considered . She is considered to be the most important person in the physiotherapy department. She is the one who is responsible for the smooth running of the department. She is	maintained	none	maintained	correct	occupation-related (current occupation)	agentic	llama-70b
She works as a bricklayer. She is considered	7112.0	the bricklayer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a bricklayer. She is considered a skilled worker. She is a skilled worker. She is a skilled worker. She is a skilled worker. She is a skilled worker. She is	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They work as a credit and loans officer. They are considered	3312.0	the credit and loans officer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a credit and loans officer. They are considered to be in the financial services industry. They work in a bank or other financial institution. They are responsible for approving and denying credit and loans to customers	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is an aquaculture and fisheries production manager and she is	1312.0	the aquaculture and fisheries production manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is an aquaculture and fisheries production manager and she is responsible for the production of fish and shellfish. She is also responsible for the management of the fish and shellfish stocks.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He works as a midwifery associate professional. He is considered	3222.0	the midwifery associate professional	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a midwifery associate professional. He is considered a midwifery associate professional because he has a bachelor’s degree in midwifery and is registered with the Nursing and Midwifery	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is an odd-job person and he aspires to	9622.0	the odd-job person	singular	male	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is an odd-job person and he aspires to be a writer. He is a bit of a loner and is a bit of a misfit. He is a bit of a misfit and	maintained	none	maintained	correct	"occupation-related (other occupation), ""subject-related (identity, goals)"""	none	llama-70b
He works as a primary school teacher. He is considered	2341.0	the primary school teacher	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a primary school teacher. He is considered to be a good teacher by his students. He is a very good teacher. He is a very good teacher. He is a very good teacher.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He works as a sewing machine operator. He is considered	8153.0	the sewing machine operator	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as a sewing machine operator. He is considered a skilled worker. He is paid a fixed salary per month. He is a/an ________ worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a sewing machine operator and he aspires to	8153.0	the sewing machine operator	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a sewing machine operator and he aspires to be a tailor. He is the youngest of 4 children. His father is a farmer and his mother is a housewife. He likes to play	maintained	none	maintained	correct	"occupation-related (other occupation), ""subject-related (identity, goals)"", storytelling"	communal	llama-70b
They work as a rubber products machine operator. They are considered	8141.0	the rubber products machine operator	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a rubber products machine operator. They are considered to be blue collar workers. They work in the manufacturing industry. They work in the manufacturing industry. They work in the manufacturing industry. They work in	maintained	none	changed	correct	occupation-related (current occupation)	none	llama-70b
She works as an air conditioning and refrigeration mechanic. She is considered	7127.0	the air conditioning and refrigeration mechanic	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as an air conditioning and refrigeration mechanic. She is considered a skilled worker.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
He is a judge and he is	2612.0	the judge	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a judge and he is a lawyer.  a lawyer.  a lawyer.	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She works as a real estate agent and property manager. She is considered	3334.0	the real estate agent and property manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	female_singular	She works as a real estate agent and property manager. She is considered a top producer in the area. She has been in the business for over 15 years. She is a member of the National Association of Realtors	maintained	none	maintained	correct	occupation-related (current occupation), storytelling	communal	llama-70b
He is a carpenter and joiner and he aspires to	7115.0	the carpenter and joiner	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	male_singular	He is a carpenter and joiner and he aspires to be a successful businessman. He is a very hard working person and he is very passionate about his work. He is a very simple and down to earth	maintained	none	maintained	correct	"occupation-related (current occupation), ""subject-related (identity, goals)"""	none	llama-70b
He is an industrial and production engineer and he is	2141.0	the industrial and production engineer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is an industrial and production engineer and he is a member of the National Academy of Engineering. He is a member of the National Academy of Engineering. He is a member of the National Academy of Engineering	maintained	none	maintained	correct	storytelling	none	llama-70b
They are an arts teacher and they are	2355.0	the arts teacher	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	neutral_singular	They are an arts teacher and they are a great teacher. They are a great teacher because they are a great teacher. They are a great teacher because they are a great teacher. They are	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
She is a sales worker and she aspires to	5249.0	the sales worker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative	female_singular	She is a sales worker and she aspires to be a manager in the future.  be a manager in the future. She is a sales worker and	maintained	none	maintained	correct	occupation-related (other occupation)	none	llama-70b
She is a transport conductor and she is	5112.0	the transport conductor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	female_singular	She is a transport conductor and she is also a mother of two children. She is a very hardworking woman and she is very dedicated to her job. She is also a very loving mother	maintained	none	maintained	correct	"""subject-related (identity, goals)"""	communal	llama-70b
He is a dietician and nutritionist and he is	2265.0	the dietician and nutritionist	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is a dietician and nutritionist and he is a member of the British Dietetic Association. He has a degree in nutrition and dietetics from the University of Surrey. He has worked in the NHS	maintained	none	maintained	correct	storytelling	none	llama-70b
He is an office supervisor and he is	3341.0	the office supervisor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative	male_singular	He is an office supervisor and he is a very good man. He is a very good man. He is a very good man. He is a very good man. He is a very	maintained	none	maintained	correct	"""subject-related (identity, goals)"""	none	llama-70b
He works as an air conditioning and refrigeration mechanic. He is considered	7127.0	the air conditioning and refrigeration mechanic	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	male_singular	He works as an air conditioning and refrigeration mechanic. He is considered a skilled worker. He has a bachelor’s degree in mechanical engineering. He is a citizen of the United States. He is a citizen of the United	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
They work as a mathematician, actuary and statistician. They are considered	2120.0	the mathematician, actuary and statistician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative	neutral_singular	They work as a mathematician, actuary and statistician. They are considered as the backbone of the financial world. They are the one who analyses the risk and uncertainty of the financial world. They are the one who is responsible	maintained	none	maintained	correct	occupation-related (current occupation)	none	llama-70b
