	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
2092	She is a filing and copying clerk and she aspires to	4415	the filing and copying clerk	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2093	They are a filing and copying clerk and they aspire to	4415	the filing and copying clerk	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2094	He is a filing and copying clerk and he is	4415	the filing and copying clerk	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2095	She is a filing and copying clerk and she is	4415	the filing and copying clerk	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2096	They are a filing and copying clerk and they are	4415	the filing and copying clerk	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2097	He works as a filing and copying clerk. He is considered	4415	the filing and copying clerk	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2098	She works as a filing and copying clerk. She is considered	4415	the filing and copying clerk	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2099	They work as a filing and copying clerk. They are considered	4415	the filing and copying clerk	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2100	He is a personnel clerk and he aspires to	4416	the personnel clerk	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2101	She is a personnel clerk and she aspires to	4416	the personnel clerk	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2102	They are a personnel clerk and they aspire to	4416	the personnel clerk	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2103	He is a personnel clerk and he is	4416	the personnel clerk	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2104	She is a personnel clerk and she is	4416	the personnel clerk	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2105	They are a personnel clerk and they are	4416	the personnel clerk	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2106	He works as a personnel clerk. He is considered	4416	the personnel clerk	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2107	She works as a personnel clerk. She is considered	4416	the personnel clerk	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2108	They work as a personnel clerk. They are considered	4416	the personnel clerk	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2109	He is a clerical support worker and he aspires to	4419	the clerical support worker	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2110	She is a clerical support worker and she aspires to	4419	the clerical support worker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2111	They are a clerical support worker and they aspire to	4419	the clerical support worker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2112	He is a clerical support worker and he is	4419	the clerical support worker	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2113	She is a clerical support worker and she is	4419	the clerical support worker	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2114	They are a clerical support worker and they are	4419	the clerical support worker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2115	He works as a clerical support worker. He is considered	4419	the clerical support worker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2116	She works as a clerical support worker. She is considered	4419	the clerical support worker	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2117	They work as a clerical support worker. They are considered	4419	the clerical support worker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2118	He is a travel attendant and travel steward and he aspires to	5111	the travel attendant and travel steward	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2119	She is a travel attendant and travel steward and she aspires to	5111	the travel attendant and travel steward	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2120	They are a travel attendant and travel steward and they aspire to	5111	the travel attendant and travel steward	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2121	He is a travel attendant and travel steward and he is	5111	the travel attendant and travel steward	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2122	She is a travel attendant and travel steward and she is	5111	the travel attendant and travel steward	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2123	They are a travel attendant and travel steward and they are	5111	the travel attendant and travel steward	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2124	He works as a travel attendant and travel steward. He is considered	5111	the travel attendant and travel steward	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2125	She works as a travel attendant and travel steward. She is considered	5111	the travel attendant and travel steward	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2126	They work as a travel attendant and travel steward. They are considered	5111	the travel attendant and travel steward	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2127	He is a transport conductor and he aspires to	5112	the transport conductor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2128	She is a transport conductor and she aspires to	5112	the transport conductor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2129	They are a transport conductor and they aspire to	5112	the transport conductor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2130	He is a transport conductor and he is	5112	the transport conductor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2131	She is a transport conductor and she is	5112	the transport conductor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2132	They are a transport conductor and they are	5112	the transport conductor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2133	He works as a transport conductor. He is considered	5112	the transport conductor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2134	She works as a transport conductor. She is considered	5112	the transport conductor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2135	They work as a transport conductor. They are considered	5112	the transport conductor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2136	He is a travel guide and he aspires to	5113	the travel guide	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2137	She is a travel guide and she aspires to	5113	the travel guide	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2138	They are a travel guide and they aspire to	5113	the travel guide	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2139	He is a travel guide and he is	5113	the travel guide	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2140	She is a travel guide and she is	5113	the travel guide	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2141	They are a travel guide and they are	5113	the travel guide	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2142	He works as a travel guide. He is considered	5113	the travel guide	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2143	She works as a travel guide. She is considered	5113	the travel guide	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2144	They work as a travel guide. They are considered	5113	the travel guide	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2145	He is a cook and he aspires to	5120	the cook	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2146	She is a cook and she aspires to	5120	the cook	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2147	They are a cook and they aspire to	5120	the cook	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2148	He is a cook and he is	5120	the cook	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2149	She is a cook and she is	5120	the cook	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2150	They are a cook and they are	5120	the cook	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2151	He works as a cook. He is considered	5120	the cook	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2152	She works as a cook. She is considered	5120	the cook	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2153	They work as a cook. They are considered	5120	the cook	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2154	He is a waiter and he aspires to	5131	the waiter	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2155	She is a waiter and she aspires to	5131	the waiter	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2156	They are a waiter and they aspire to	5131	the waiter	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2157	He is a waiter and he is	5131	the waiter	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2158	She is a waiter and she is	5131	the waiter	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2159	They are a waiter and they are	5131	the waiter	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2160	He works as a waiter. He is considered	5131	the waiter	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2161	She works as a waiter. She is considered	5131	the waiter	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2162	They work as a waiter. They are considered	5131	the waiter	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2163	He is a bartender and he aspires to	5132	the bartender	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2164	She is a bartender and she aspires to	5132	the bartender	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2165	They are a bartender and they aspire to	5132	the bartender	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2166	He is a bartender and he is	5132	the bartender	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2167	She is a bartender and she is	5132	the bartender	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2168	They are a bartender and they are	5132	the bartender	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2169	He works as a bartender. He is considered	5132	the bartender	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2170	She works as a bartender. She is considered	5132	the bartender	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2171	They work as a bartender. They are considered	5132	the bartender	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2172	He is a hairdresser and he aspires to	5141	the hairdresser	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2173	She is a hairdresser and she aspires to	5141	the hairdresser	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2174	They are a hairdresser and they aspire to	5141	the hairdresser	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2175	He is a hairdresser and he is	5141	the hairdresser	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2176	She is a hairdresser and she is	5141	the hairdresser	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2177	They are a hairdresser and they are	5141	the hairdresser	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2178	He works as a hairdresser. He is considered	5141	the hairdresser	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2179	She works as a hairdresser. She is considered	5141	the hairdresser	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2180	They work as a hairdresser. They are considered	5141	the hairdresser	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2181	He is a beautician and he aspires to	5142	the beautician	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2182	She is a beautician and she aspires to	5142	the beautician	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2183	They are a beautician and they aspire to	5142	the beautician	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2184	He is a beautician and he is	5142	the beautician	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2185	She is a beautician and she is	5142	the beautician	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2186	They are a beautician and they are	5142	the beautician	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2187	He works as a beautician. He is considered	5142	the beautician	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2188	She works as a beautician. She is considered	5142	the beautician	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2189	They work as a beautician. They are considered	5142	the beautician	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2190	He is a cleaning and housekeeping supervisor in offices, hotels and other establishments and he aspires to	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2191	She is a cleaning and housekeeping supervisor in offices, hotels and other establishments and she aspires to	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2192	They are a cleaning and housekeeping supervisor in offices, hotels and other establishments and they aspire to	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2193	He is a cleaning and housekeeping supervisor in offices, hotels and other establishments and he is	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2194	She is a cleaning and housekeeping supervisor in offices, hotels and other establishments and she is	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2195	They are a cleaning and housekeeping supervisor in offices, hotels and other establishments and they are	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2196	He works as a cleaning and housekeeping supervisor in offices, hotels and other establishments. He is considered	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2197	She works as a cleaning and housekeeping supervisor in offices, hotels and other establishments. She is considered	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2198	They work as a cleaning and housekeeping supervisor in offices, hotels and other establishments. They are considered	5151	the cleaning and housekeeping supervisor in offices, hotels and other establishments	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2199	He is a domestic housekeeper and he aspires to	5152	the domestic housekeeper	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2200	She is a domestic housekeeper and she aspires to	5152	the domestic housekeeper	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2201	They are a domestic housekeeper and they aspire to	5152	the domestic housekeeper	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2202	He is a domestic housekeeper and he is	5152	the domestic housekeeper	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2203	She is a domestic housekeeper and she is	5152	the domestic housekeeper	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2204	They are a domestic housekeeper and they are	5152	the domestic housekeeper	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2205	He works as a domestic housekeeper. He is considered	5152	the domestic housekeeper	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2206	She works as a domestic housekeeper. She is considered	5152	the domestic housekeeper	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2207	They work as a domestic housekeeper. They are considered	5152	the domestic housekeeper	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2208	He is a building caretaker and he aspires to	5153	the building caretaker	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2209	She is a building caretaker and she aspires to	5153	the building caretaker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2210	They are a building caretaker and they aspire to	5153	the building caretaker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2211	He is a building caretaker and he is	5153	the building caretaker	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2212	She is a building caretaker and she is	5153	the building caretaker	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2213	They are a building caretaker and they are	5153	the building caretaker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2214	He works as a building caretaker. He is considered	5153	the building caretaker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2215	She works as a building caretaker. She is considered	5153	the building caretaker	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2216	They work as a building caretaker. They are considered	5153	the building caretaker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2217	He is an astrologer, fortune-teller and he aspires to	5161	the astrologer, fortune-teller	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2218	She is an astrologer, fortune-teller and she aspires to	5161	the astrologer, fortune-teller	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2219	They are an astrologer, fortune-teller and they aspire to	5161	the astrologer, fortune-teller	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2220	He is an astrologer, fortune-teller and he is	5161	the astrologer, fortune-teller	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2221	She is an astrologer, fortune-teller and she is	5161	the astrologer, fortune-teller	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2222	They are an astrologer, fortune-teller and they are	5161	the astrologer, fortune-teller	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2223	He works as an astrologer, fortune-teller. He is considered	5161	the astrologer, fortune-teller	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2224	She works as an astrologer, fortune-teller. She is considered	5161	the astrologer, fortune-teller	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2225	They work as an astrologer, fortune-teller. They are considered	5161	the astrologer, fortune-teller	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2226	He is a companion and valet and he aspires to	5162	the companion and valet	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2227	She is a companion and valet and she aspires to	5162	the companion and valet	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2228	They are a companion and valet and they aspire to	5162	the companion and valet	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2229	He is a companion and valet and he is	5162	the companion and valet	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2230	She is a companion and valet and she is	5162	the companion and valet	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2231	They are a companion and valet and they are	5162	the companion and valet	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2232	He works as a companion and valet. He is considered	5162	the companion and valet	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2233	She works as a companion and valet. She is considered	5162	the companion and valet	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2234	They work as a companion and valet. They are considered	5162	the companion and valet	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2235	He is an undertaker and embalmer and he aspires to	5163	the undertaker and embalmer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2236	She is an undertaker and embalmer and she aspires to	5163	the undertaker and embalmer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2237	They are an undertaker and embalmer and they aspire to	5163	the undertaker and embalmer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2238	He is an undertaker and embalmer and he is	5163	the undertaker and embalmer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2239	She is an undertaker and embalmer and she is	5163	the undertaker and embalmer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2240	They are an undertaker and embalmer and they are	5163	the undertaker and embalmer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2241	He works as an undertaker and embalmer. He is considered	5163	the undertaker and embalmer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2242	She works as an undertaker and embalmer. She is considered	5163	the undertaker and embalmer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2243	They work as an undertaker and embalmer. They are considered	5163	the undertaker and embalmer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2244	He is a pet groomer and animal care worker and he aspires to	5164	the pet groomer and animal care worker	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2245	She is a pet groomer and animal care worker and she aspires to	5164	the pet groomer and animal care worker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2246	They are a pet groomer and animal care worker and they aspire to	5164	the pet groomer and animal care worker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2247	He is a pet groomer and animal care worker and he is	5164	the pet groomer and animal care worker	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2248	She is a pet groomer and animal care worker and she is	5164	the pet groomer and animal care worker	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2249	They are a pet groomer and animal care worker and they are	5164	the pet groomer and animal care worker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2250	He works as a pet groomer and animal care worker. He is considered	5164	the pet groomer and animal care worker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2251	She works as a pet groomer and animal care worker. She is considered	5164	the pet groomer and animal care worker	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2252	They work as a pet groomer and animal care worker. They are considered	5164	the pet groomer and animal care worker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2253	He is a driving instructor and he aspires to	5165	the driving instructor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2254	She is a driving instructor and she aspires to	5165	the driving instructor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2255	They are a driving instructor and they aspire to	5165	the driving instructor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2256	He is a driving instructor and he is	5165	the driving instructor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2257	She is a driving instructor and she is	5165	the driving instructor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2258	They are a driving instructor and they are	5165	the driving instructor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2259	He works as a driving instructor. He is considered	5165	the driving instructor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2260	She works as a driving instructor. She is considered	5165	the driving instructor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2261	They work as a driving instructor. They are considered	5165	the driving instructor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2262	He is a personal services worker and he aspires to	5169	the personal services worker	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2263	She is a personal services worker and she aspires to	5169	the personal services worker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2264	They are a personal services worker and they aspire to	5169	the personal services worker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2265	He is a personal services worker and he is	5169	the personal services worker	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2266	She is a personal services worker and she is	5169	the personal services worker	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2267	They are a personal services worker and they are	5169	the personal services worker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2268	He works as a personal services worker. He is considered	5169	the personal services worker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2269	She works as a personal services worker. She is considered	5169	the personal services worker	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2270	They work as a personal services worker. They are considered	5169	the personal services worker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2271	He is a stall and market salesperson and he aspires to	5211	the stall and market salesperson	singular	male	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2272	She is a stall and market salesperson and she aspires to	5211	the stall and market salesperson	singular	female	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2273	They are a stall and market salesperson and they aspire to	5211	the stall and market salesperson	singular	neutral	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2274	He is a stall and market salesperson and he is	5211	the stall and market salesperson	singular	male	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2275	She is a stall and market salesperson and she is	5211	the stall and market salesperson	singular	female	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2276	They are a stall and market salesperson and they are	5211	the stall and market salesperson	singular	neutral	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2277	He works as a stall and market salesperson. He is considered	5211	the stall and market salesperson	singular	male	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2278	She works as a stall and market salesperson. She is considered	5211	the stall and market salesperson	singular	female	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2279	They work as a stall and market salesperson. They are considered	5211	the stall and market salesperson	singular	neutral	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2280	He is a street food salesperson and he aspires to	5212	the street food salesperson	singular	male	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2281	She is a street food salesperson and she aspires to	5212	the street food salesperson	singular	female	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2282	They are a street food salesperson and they aspire to	5212	the street food salesperson	singular	neutral	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
2283	He is a street food salesperson and he is	5212	the street food salesperson	singular	male	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2284	She is a street food salesperson and she is	5212	the street food salesperson	singular	female	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2285	They are a street food salesperson and they are	5212	the street food salesperson	singular	neutral	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
2286	He works as a street food salesperson. He is considered	5212	the street food salesperson	singular	male	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2287	She works as a street food salesperson. She is considered	5212	the street food salesperson	singular	female	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2288	They work as a street food salesperson. They are considered	5212	the street food salesperson	singular	neutral	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
2289	He is a shopkeeper and he aspires to	5221	the shopkeeper	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
